FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,,
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation",D5.DR.Re.Inn.1: The institution’s risk management of significant cyber incidents results in limited to no disruptions to critical services.,Innovative,Full,"GV.RM-09.02: The resilience program ensures that the organization can continue operating critical business functions and deliver services to stakeholders, to include critical infrastructure partners, during adverse incidents and cyber attacks (e.g., propagation of malware or extended system outages).",GV.RM-09.02,GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation","D5.DR.Re.Inn.2: The technology infrastructure has been engineered to limit the effects of a cyber attack on the production environment from migrating to the backup environment (e.g., air-gapped environment and processes).",Innovative,Partial,"GV.RM-09.01: The organization has an enterprise-wide resilience strategy and program, including architecture, cyber resilience, business continuity, disaster recovery, and incident response, which support its mission, stakeholder obligations, critical infrastructure role, and risk appetite.",GV.RM-09.01,GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation","D5.DR.Re.Inn.2: The technology infrastructure has been engineered to limit the effects of a cyber attack on the production environment from migrating to the backup environment (e.g., air-gapped environment and processes).",Innovative,Partial,"PR.DS-11.01: The organization defines and implements standards and procedures for configuring and performing backups and data replications, including defining backup requirements by data/application/infrastructure criticality, segregating (e.g., air-gapping) and securing backups, verifying backup integrity, and performing backup restoration testing.",PR.DS-11.01,PROTECT / Data Security / Data Backup
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation","D5.DR.Re.Inn.2: The technology infrastructure has been engineered to limit the effects of a cyber attack on the production environment from migrating to the backup environment (e.g., air-gapped environment and processes).",Innovative,Partial,"PR.PS-06.02: The architecture, design, coding, testing, and operationalization of system solutions address the unique security, resilience, technical, and operational characteristics of the target platform environment(s) (e.g., distributed system, mainframe, cloud, API, mobile, database, etc.)",PR.PS-06.02,PROTECT / Platform Security / Secure Systems Development Practices
5: Cyber Incident Management and Resilience / 3: Escalation and Reporting / 1: Escalation and Reporting,D5.ER.Es.B.1: A process exists to contact personnel who are responsible for analyzing and responding to an incident.,Baseline,Full,"RS.CO-02.03: The organization maintains and regularly tests incident response communication procedures, with associated contact lists, call trees, and automatic notifications, to quickly coordinate and communicate with internal and external stakeholders during or following an incident.",RS.CO-02.03,RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification
5: Cyber Incident Management and Resilience / 3: Escalation and Reporting / 1: Escalation and Reporting,"D5.ER.Es.B.2: Procedures exist to notify customers, regulators, and law enforcement as required or necessary when the institution becomes aware of an incident involving the unauthorized access to or use of sensitive customer information.",Baseline,Full Summarily,"RS.CO-02.02: In the event of an incident, the organization notifies impacted stakeholders including, as required, government bodies, self-regulatory agencies and/or other supervisory bodies, within required timeframes.",RS.CO-02.02,RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification
5: Cyber Incident Management and Resilience / 3: Escalation and Reporting / 1: Escalation and Reporting,"D5.ER.Es.B.2: Procedures exist to notify customers, regulators, and law enforcement as required or necessary when the institution becomes aware of an incident involving the unauthorized access to or use of sensitive customer information.",Baseline,Full Summarily,"RC.CO-04.01: Pre-established communication plans and message templates, and authorized protocols, contacts, media, and communications, are used to notify and inform the public and key external stakeholders about an incident.",RC.CO-04.01,RECOVER / Incident Recovery Communication / Public Information Sharing
5: Cyber Incident Management and Resilience / 3: Escalation and Reporting / 1: Escalation and Reporting,D5.ER.Es.B.3: The institution prepares an annual report of security incidents or violations for the board or an appropriate board committee.,Baseline,Full,"GV.OV-03.01: The organization develops, implements, and reports to management and the governing body (e.g., the Board or one of its committees) key technology and cybersecurity risk and performance indicators and metrics to measure, monitor, and report actionable indicators.",GV.OV-03.01,GOVERN / Oversight / Risk Management Performance Measurement
5: Cyber Incident Management and Resilience / 3: Escalation and Reporting / 1: Escalation and Reporting,"D5.ER.Es.B.4: Incidents are classified, logged, and tracked.",Baseline,Full,"DE.AE-07.02: Relevant event data is packaged for subsequent review and triage and events are categorized for efficient handling, assignment, and escalation.",DE.AE-07.02,DETECT / Adverse Event Analysis / Contextual Analysis
5: Cyber Incident Management and Resilience / 3: Escalation and Reporting / 1: Escalation and Reporting,D5.ER.Es.E.1: Criteria have been established for escalating cyber incidents or vulnerabilities to the board and senior management based on the potential impact and criticality of the risk.,Evolving,Full,"RS.CO-02.01: The organization's incident response program includes defined and approved escalation protocols, linked to organizational decision levels and communication strategies, including which types of information will be shared, with whom (e.g., the organization's governing authority and senior management), and how information provided to the organization will be acted upon.",RS.CO-02.01,RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification
5: Cyber Incident Management and Resilience / 3: Escalation and Reporting / 1: Escalation and Reporting,"D5.ER.Es.E.2: Regulators, law enforcement, and service providers, as appropriate, are notified when the institution is aware of any unauthorized access to systems or a cyber incident occurs that could result in degradation of services.",Evolving,Full Summarily,"RS.CO-02.02: In the event of an incident, the organization notifies impacted stakeholders including, as required, government bodies, self-regulatory agencies and/or other supervisory bodies, within required timeframes.",RS.CO-02.02,RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification
5: Cyber Incident Management and Resilience / 3: Escalation and Reporting / 1: Escalation and Reporting,"D5.ER.Es.E.2: Regulators, law enforcement, and service providers, as appropriate, are notified when the institution is aware of any unauthorized access to systems or a cyber incident occurs that could result in degradation of services.",Evolving,Full Summarily,"RS.CO-03.02: In the event of an incident, the organization shares authorized information, in a defined manner and through trusted channels, to facilitate the detection, response, resumption and recovery of its own systems and those of other partners and critical sector participants.",RS.CO-03.02,RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Information Sharing
